REFERENCIAS;cor;Peso;cor2;peso3;cor4;peso5;cor6;peso7;cor8;Coluna1
ATAC M12015 4078 8MM;4078;0.0039;;;;;;;;
ELAST MTM 122 10MM;122;0.0072;BORRACHA BRANCA 38;0.00068;;;;;;
ELAST MTM 253 10MM;253;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ELAST MTM 100 10MM;100;0.0072;BORRACHA PRETA 38;0.00068;;;;;;
ATAC M22026 048/175 7MM;48;0.0029;175;0.0005;;;;;;
ATAC M22026 048/310 7MM;48;0.0029;310;0.0005;;;;;;
ATAC M22026 102/310 7MM;533;0.0029;310;0.0005;;;;;;
ATAC M22026 025/102 7MM;25;0.0029;533;0.0005;;;;;;
ATAC M22026 248/310 7MM;248;0.0029;310;0.0005;;;;;;
ATAC M22026 334/226 7MM;334;0.0029;226;0.0005;;;;;;
ATAC M22026 045/011 7MM;45;0.0029;11;0.0005;;;;;;
ATAC M22026 290/122 7MM;290;0.0029;122;0.0005;;;;;;
ATAC M22026 100/248 7MM;100;0.0029;248;0.0005;;;;;;
ATAC M22026 100/310 7MM;100;0.0029;310;0.0005;;;;;;
